theta   d_times   d_db
1.230549   1.332965   1.248189
1.232120   1.334446   1.253010
1.233692   1.335921   1.257807
1.235264   1.337390   1.262580
1.236835   1.338853   1.267329
1.238407   1.340310   1.272054
1.239978   1.341762   1.276755
1.241550   1.343208   1.281431
1.243121   1.344647   1.286084
1.244693   1.346081   1.290713
1.246265   1.347509   1.295318
1.247836   1.348932   1.299899
1.249408   1.350348   1.304457
1.250979   1.351758   1.308990
1.252551   1.353163   1.313500
1.254123   1.354561   1.317986
1.255694   1.355953   1.322448
1.257266   1.357340   1.326886
1.258837   1.358720   1.331301
1.260409   1.360095   1.335692
1.261980   1.361463   1.340059
1.263552   1.362826   1.344403
1.265124   1.364182   1.348723
1.266695   1.365532   1.353019
1.268267   1.366876   1.357292
1.269838   1.368214   1.361542
1.271410   1.369546   1.365768
1.272982   1.370872   1.369970
1.274553   1.372192   1.374149
1.276125   1.373506   1.378304
1.277696   1.374813   1.382436
1.279268   1.376114   1.386545
1.280839   1.377409   1.390630
1.282411   1.378698   1.394692
1.283983   1.379981   1.398730
1.285554   1.381257   1.402745
1.287126   1.382527   1.406737
1.288697   1.383791   1.410706
1.290269   1.385049   1.414651
1.291841   1.386300   1.418573
1.293412   1.387545   1.422472
1.294984   1.388784   1.426347
1.296555   1.390017   1.430200
1.298127   1.391243   1.434029
1.299698   1.392463   1.437835
1.301270   1.393676   1.441619
1.302842   1.394883   1.445379
1.304413   1.396084   1.449115
1.305985   1.397278   1.452829
1.307556   1.398466   1.456520
1.309128   1.399648   1.460188
1.310699   1.400823   1.463833
1.312271   1.401992   1.467455
1.313843   1.403154   1.471053
1.315414   1.404310   1.474629
1.316986   1.405459   1.478182
1.318557   1.406602   1.481713
1.320129   1.407738   1.485220
1.321701   1.408868   1.488704
1.323272   1.409992   1.492166
1.324844   1.411109   1.495604
1.326415   1.412219   1.499020
1.327987   1.413323   1.502413
1.329558   1.414420   1.505784
1.331130   1.415511   1.509131
1.332702   1.416595   1.512456
1.334273   1.417672   1.515758
1.335845   1.418743   1.519038
1.337416   1.419807   1.522295
1.338988   1.420865   1.525529
1.340560   1.421916   1.528740
1.342131   1.422961   1.531929
1.343703   1.423998   1.535095
1.345274   1.425030   1.538239
1.346846   1.426054   1.541360
1.348417   1.427072   1.544458
1.349989   1.428083   1.547534
1.351561   1.429087   1.550587
1.353132   1.430085   1.553618
1.354704   1.431076   1.556626
1.356275   1.432060   1.559612
1.357847   1.433037   1.562575
1.359419   1.434008   1.565516
1.360990   1.434972   1.568435
1.362562   1.435929   1.571331
1.364133   1.436880   1.574204
1.365705   1.437823   1.577056
1.367276   1.438760   1.579884
1.368848   1.439690   1.582691
1.370420   1.440614   1.585475
1.371991   1.441530   1.588237
1.373563   1.442439   1.590976
1.375134   1.443342   1.593693
1.376706   1.444238   1.596388
1.378278   1.445127   1.599060
1.379849   1.446009   1.601711
1.381421   1.446884   1.604339
1.382992   1.447753   1.606944
1.384564   1.448614   1.609528
1.386135   1.449469   1.612089
1.387707   1.450317   1.614628
1.389279   1.451157   1.617145
1.390850   1.451991   1.619640
1.392422   1.452818   1.622112
1.393993   1.453638   1.624563
